64,71
70,957
63,372
67,168
61,791
69,414
60,685
72,162
58,588
64,36
80,64
43,693
76,997
69,214
67,409
78,928
59,685
71,929
60,951
53,236
60,494
68,542
77,738
82,225
78,072
73,292
83,794
70,728
73,197
101,671
71,582
72,09
54,99
80,179
49,119
71,217
71,242
74,607
67,752
62,462
59,994
60,11
63,981
47,269
73,497
59,83
84,919
78,243
49,564
59,178
81,695
87,498
89,312
68,895
94,667
86,914
66,012
55,795
74,646
74,374
91,299
81,012
64,216
52,59
59,364
80,475
52,292
51,296
66,553
95,002
73,197
68,634
58,241
76,99
55,836
79,432
61,744
73,678
76,515
77,027
63,518
71,969
57,31
70,728
67,752
