127,037
125,685
112,586
140,144
80,41
39,46
78,398
76,416
49,366
41,976
38,809
69,309
105,434
108,031
95,815
134,839
104,64
99,111
75,785
49,599
30,433
77,566
69,439
157,348
107,967
95,876
79,125
100,428
112,771
71,993
79,082
44,167
35,491
87,067
144,267
129,084
112,416
97,397
105,39
123,867
71,533
71,323
72,09
86,077
107,451
101,261
93,831
97,397
102,691
100,209
75,632
93,862
66,926
131,268
98,332
121,983
139,066
113,676
86,198
110,908
118,361
108,304
133,771
88,681
77,544
175,998
142,357
123,755
199,916
111,905
105,532
110,028
137,104
122,665
81,66
103,321
97,314
113,839
114,665
121,198
136,796
126,914
128,775
68,542
56,608
